	Green light				Yellow light				Red light
Sec.	Blue	Green	Red	Mean	Blue	Green	Red	Mean	Blue	Green	Red	Mean
1	45	 42	 15	 36	35	 28	 61	 43	91	 17	 182	 117
2	50	 42	 12	 38	39	 28	 59	 43	79	 12	 148	 97
3	49	 47	 11	 39	47	 27	 54	 44	84	 8	 126	 87
4	49	 47	 11	 39	47	 27	 54	 44	94	 9	 164	 109
5	46	 46	 13	 38	44	 30	 51	 42	95	 10	 178	 116
6	49	 44	 11	 38	47	 24	 57	 44	90	 10	 154	 103
7	49	 44	 11	 38	47	 24	 57	 44	83	 8	 140	 94
8	49	 40	 16	 37	47	 24	 57	 44	81	 9	 137	 92
9	53	 48	 9	 41	37	 26	 57	 42	91	 10	 178	 115
10	49	 49	 9	 40	42	 25	 57	 43	91	 10	 178	 115
11	45	 50	 10	 39	37	 28	 52	 40	83	 11	 149	 98
12	51	 40	 17	 38	47	 28	 42	 39	68	 12	 124	 81
13	47	 41	 17	 37	43	 28	 42	 38	75	 10	 154	 99
14	45	 47	 10	 38	47	 26	 47	 41	88	 9	 179	 115
15	56	 46	 8	 42	49	 22	 60	 46	88	 14	 171	 111
16	56	 46	 8	 42	49	 22	 60	 46	73	 11	 127	 84
17	56	 44	 11	 41	46	 26	 53	 43	70	 9	 126	 83
18	50	 43	 13	 38	47	 28	 48	 42	87	 12	 174	 112
19	50	 46	 8	 39	47	 28	 48	 42	87	 12	 174	 112
20	52	 43	 12	 39	49	 26	 51	 43	82	 10	 164	 106
21	56	 51	 9	 44	43	 26	 49	 40	64	 13	 117	 77
22	50	 52	 9	 41	37	 27	 49	 38	64	 8	 136	 86
23	51	 51	 9	 41	41	 26	 49	 39	90	 11	 172	 112
24	53	 39	 27	 41	45	 26	 54	 43	84	 13	 167	 108
25	53	 39	 27	 41	45	 26	 54	 43	80	 4	 165	 105
26	53	 40	 24	 40	43	 28	 51	 41	74	 6	 129	 85
27	62	 38	 17	 43	44	 30	 51	 42	90	 8	 164	 108
28	62	 38	 17	 43	42	 30	 51	 41	98	 15	 176	 116
29	58	 40	 15	 41	37	 29	 54	 41	92	 10	 168	 110
30	46	 47	 13	 38	48	 29	 53	 44	75	 15	 119	 81
31	76	 96	 9	 70	48	 28	 55	 45	57	 12	 46	 42
32	99	 130	 9	 94	43	 30	 52	 42	52	 13	 36	 37
33	104	 154	 5	 107	53	 27	 48	 44	45	 15	 21	 29
34	104	 149	 8	 105	53	 27	 48	 44	45	 15	 21	 29
35	81	 119	 7	 83	49	 30	 44	 41	45	 16	 18	 29
36	80	 125	 9	 85	42	 28	 48	 40	42	 17	 19	 28
37	98	 139	 9	 98	36	 24	 57	 41	42	 17	 19	 28
38	105	 152	 9	 106	36	 29	 48	 38	42	 17	 19	 28
39	77	 136	 12	 90	49	 35	 47	 44	42	 21	 26	 30
40	77	 122	 4	 83	49	 36	 47	 44	42	 21	 26	 30
41	77	 123	 6	 83	49	 32	 56	 46	42	 21	 26	 30
42	102	 151	 10	 105	39	 25	 43	 36	44	 15	 25	 30
43	95	 143	 6	 99	43	 25	 43	 37	44	 15	 25	 30
44	85	 126	 8	 87	43	 23	 48	 39	44	 15	 26	 30
