	Green light				Yellow light				Red light
Sec.	Blue	Green	Red	Mean	Blue	Green	Red	Mean	Blue	Green	Red	Mean
1	58	 45	 21	 44	36	 40	 65	 48	96	 34	 198	 128
2	59	 45	 16	 43	42	 38	 64	 49	83	 30	 166	 108
3	55	 44	 14	 41	51	 37	 56	 48	92	 21	 148	 101
4	55	 44	 14	 41	51	 38	 56	 48	102	 27	 181	 120
5	52	 44	 14	 40	47	 38	 54	 46	100	 27	 199	 129
6	56	 43	 14	 41	53	 35	 61	 50	97	 29	 175	 116
7	56	 43	 14	 41	54	 35	 61	 51	92	 24	 157	 105
8	55	 41	 18	 40	53	 35	 61	 50	92	 25	 152	 103
9	57	 46	 8	 42	47	 36	 61	 49	100	 28	 200	 130
10	56	 48	 8	 42	48	 36	 63	 50	100	 28	 200	 130
11	56	 48	 8	 42	49	 38	 58	 49	87	 30	 165	 109
12	59	 42	 18	 43	53	 36	 48	 46	77	 28	 137	 92
13	56	 46	 12	 42	49	 35	 53	 46	93	 26	 184	 119
Stopped
