	Green light				Yellow light				Red light
Sec.	Blue	Green	Red	Mean	Blue	Green	Red	Mean	Blue	Green	Red	Mean
1	53	 124	 17	 78	71	 41	 65	 60	85	 50	 69	 69
2	51	 122	 20	 77	66	 43	 64	 58	84	 52	 66	 68
3	49	 122	 20	 76	74	 41	 63	 60	81	 49	 65	 66
4	49	 122	 20	 76	74	 41	 63	 60	81	 49	 65	 66
5	47	 124	 18	 77	70	 45	 59	 58	80	 48	 66	 65
6	52	 119	 20	 75	66	 39	 71	 60	82	 49	 67	 67
7	52	 120	 16	 76	66	 39	 71	 60	82	 49	 67	 67
8	49	 120	 16	 75	73	 42	 63	 60	81	 50	 67	 67
9	48	 122	 21	 76	67	 42	 64	 58	79	 54	 68	 67
10	48	 122	 21	 76	67	 42	 64	 58	79	 54	 68	 67
11	48	 123	 21	 77	64	 44	 63	 57	82	 52	 69	 68
12	52	 119	 25	 76	72	 41	 61	 59	78	 52	 67	 66
13	50	 63	 39	 51	33	 88	 149	 101	78	 52	 67	 66
14	58	 56	 32	 50	36	 83	 150	 101	89	 48	 69	 70
15	65	 51	 41	 53	36	 82	 152	 101	96	 42	 73	 73
16	65	 51	 41	 53	36	 82	 152	 101	96	 42	 73	 73
17	60	 55	 40	 52	34	 83	 150	 100	91	 47	 75	 73
18	64	 63	 37	 56	68	 41	 69	 60	108	 39	 226	 146
19	64	 63	 37	 56	68	 41	 69	 60	108	 39	 226	 146
20	64	 63	 37	 56	68	 41	 69	 60	115	 33	 227	 148
21	63	 57	 45	 55	53	 45	 63	 54	98	 36	 227	 144
22	59	 58	 45	 54	57	 44	 63	 55	107	 34	 227	 146
23	60	 61	 40	 54	64	 42	 66	 58	112	 33	 227	 147
24	55	 58	 33	 49	68	 45	 69	 61	105	 35	 228	 146
25	55	 58	 33	 49	68	 45	 69	 61	113	 32	 230	 149
26	57	 57	 33	 50	69	 47	 65	 61	116	 31	 232	 150
27	60	 62	 34	 53	68	 44	 61	 58	124	 29	 227	 150
28	61	 62	 34	 53	67	 44	 61	 58	122	 32	 228	 150
29	61	 61	 36	 53	64	 42	 65	 57	102	 32	 229	 145
30	56	 61	 35	 51	62	 45	 62	 56	102	 37	 227	 145
31	56	 61	 35	 51	63	 45	 62	 57	102	 37	 229	 146
32	56	 62	 32	 51	64	 49	 62	 58	110	 33	 229	 147
33	58	 63	 30	 52	53	 49	 62	 54	103	 32	 229	 146
34	58	 63	 30	 52	60	 48	 62	 57	106	 32	 229	 146
35	59	 62	 30	 52	61	 48	 63	 57	106	 32	 229	 146
36	63	 55	 36	 52	68	 43	 65	 59	105	 34	 227	 145
37	63	 55	 36	 52	68	 43	 65	 59	106	 33	 229	 146
38	63	 54	 36	 52	67	 43	 65	 59	105	 36	 229	 146
39	65	 53	 41	 53	68	 44	 67	 60	100	 37	 226	 144
40	65	 53	 41	 53	68	 44	 67	 60	101	 35	 228	 145
41	61	 58	 33	 52	68	 44	 67	 60	101	 35	 227	 144
42	60	 54	 41	 52	64	 45	 60	 56	106	 36	 225	 145
43	60	 54	 41	 52	64	 45	 60	 56	107	 34	 227	 146
44	55	 57	 39	 50	66	 46	 65	 59	116	 34	 226	 147
45	65	 59	 40	 55	65	 44	 65	 58	108	 33	 227	 146
46	65	 59	 40	 55	65	 44	 65	 58	108	 33	 227	 146
47	53	 117	 20	 75	59	 45	 64	 56	88	 42	 89	 76
48	48	 123	 17	 76	54	 45	 65	 55	73	 51	 67	 64
49	48	 123	 17	 76	54	 45	 65	 55	73	 51	 67	 64
50	48	 123	 17	 76	54	 45	 65	 55	73	 51	 67	 64
51	54	 123	 20	 78	67	 49	 61	 59	89	 48	 69	 70
52	54	 123	 20	 78	67	 49	 61	 59	89	 48	 69	 70
53	53	 119	 19	 76	68	 48	 61	 59	85	 49	 69	 69
54	53	 117	 21	 75	60	 41	 66	 56	67	 55	 61	 61
55	53	 117	 21	 75	60	 41	 66	 56	67	 55	 61	 61
56	53	 117	 21	 75	60	 41	 66	 56	67	 55	 61	 61
57	61	 122	 24	 79	56	 46	 70	 58	78	 47	 69	 65
58	55	 122	 24	 78	56	 46	 70	 58	72	 48	 69	 63
59	55	 122	 24	 78	56	 46	 70	 58	72	 48	 69	 63
60	49	 122	 28	 77	69	 41	 73	 62	83	 53	 64	 67
61	49	 122	 28	 77	69	 41	 73	 62	77	 54	 64	 65
62	56	 121	 28	 78	77	 39	 73	 65	78	 51	 70	 67
63	56	 122	 25	 78	65	 39	 66	 58	73	 48	 74	 66
64	56	 122	 25	 78	65	 39	 66	 58	73	 48	 74	 66
65	56	 122	 25	 78	65	 39	 66	 58	73	 48	 74	 66
66	55	 125	 23	 79	64	 43	 58	 55	75	 57	 62	 65
67	55	 125	 23	 79	64	 43	 58	 55	75	 57	 62	 65
68	55	 125	 23	 79	59	 44	 58	 54	85	 50	 73	 70
69	49	 125	 27	 79	70	 41	 66	 60	80	 55	 65	 67
70	49	 125	 27	 79	78	 39	 66	 63	85	 54	 66	 69
71	57	 126	 27	 81	73	 39	 67	 61	84	 52	 69	 69
72	52	 120	 20	 76	68	 44	 69	 61	79	 47	 71	 67
73	52	 120	 20	 76	68	 44	 69	 61	79	 47	 71	 67
74	51	 122	 18	 77	64	 46	 68	 60	80	 49	 73	 68
75	63	 120	 21	 79	73	 48	 57	 60	88	 53	 70	 71
76	58	 118	 20	 76	71	 46	 62	 60	85	 53	 71	 70
77	56	 117	 20	 75	66	 48	 61	 58	87	 51	 75	 72
78	48	 126	 18	 78	61	 49	 60	 56	88	 53	 73	 72
79	48	 126	 18	 78	61	 49	 60	 56	87	 53	 73	 72
80	54	 63	 32	 51	34	 86	 155	 104	89	 53	 76	 74
81	63	 50	 45	 53	29	 81	 148	 98	80	 52	 73	 69
82	63	 50	 45	 53	29	 81	 148	 98	80	 52	 73	 69
83	63	 55	 33	 51	27	 81	 150	 99	79	 52	 73	 68
84	65	 61	 38	 55	64	 43	 84	 65	115	 11	 230	 148
85	65	 63	 35	 56	61	 40	 77	 61	130	 23	 233	 154
86	64	 60	 38	 55	62	 42	 74	 60	114	 30	 234	 151
87	54	 62	 40	 52	70	 44	 71	 62	116	 27	 231	 150
88	54	 62	 40	 52	74	 43	 71	 64	116	 27	 231	 150
89	60	 61	 38	 54	69	 46	 68	 61	111	 30	 231	 148
90	59	 59	 33	 51	72	 43	 69	 62	120	 29	 231	 151
91	59	 59	 33	 51	72	 43	 69	 62	125	 35	 230	 152
92	56	 59	 33	 50	73	 45	 64	 61	108	 36	 230	 148
93	64	 58	 40	 54	73	 45	 64	 61	125	 33	 231	 152
94	65	 58	 40	 55	72	 45	 64	 61	122	 34	 231	 152
95	57	 61	 37	 52	70	 46	 64	 60	115	 31	 231	 150
96	57	 58	 42	 52	68	 43	 64	 59	127	 33	 231	 153
97	57	 58	 42	 52	68	 43	 64	 59	126	 38	 232	 153
98	61	 60	 34	 53	67	 41	 70	 60	123	 36	 229	 151
99	63	 55	 40	 53	73	 43	 64	 61	115	 32	 234	 151
100	63	 55	 40	 53	73	 43	 64	 61	115	 32	 234	 151
101	58	 56	 40	 51	68	 46	 66	 60	110	 31	 230	 148
102	59	 60	 35	 52	72	 43	 72	 63	103	 37	 229	 146
103	55	 60	 35	 51	76	 43	 72	 65	103	 37	 229	 146
104	60	 58	 38	 52	77	 44	 69	 64	104	 35	 230	 147
105	67	 59	 34	 55	58	 48	 61	 55	96	 40	 227	 144
106	67	 59	 34	 55	68	 46	 61	 59	104	 36	 227	 145
107	59	 59	 37	 52	63	 45	 66	 58	116	 34	 229	 149
108	60	 62	 40	 54	65	 41	 70	 60	104	 35	 231	 147
109	60	 62	 40	 54	63	 43	 67	 58	104	 35	 231	 147
110	53	 62	 37	 51	66	 44	 66	 59	110	 33	 231	 148
111	69	 58	 44	 57	61	 45	 71	 59	122	 28	 228	 150
112	69	 58	 44	 57	61	 45	 71	 59	121	 28	 228	 149
113	51	 61	 44	 52	67	 45	 68	 60	111	 34	 232	 149
114	50	 121	 16	 76	64	 44	 61	 57	85	 53	 67	 69
115	48	 121	 16	 75	64	 44	 61	 57	85	 53	 67	 69
116	48	 123	 14	 76	65	 45	 59	 56	85	 53	 67	 69
117	48	 117	 20	 73	68	 45	 71	 62	82	 51	 71	 69
118	48	 117	 20	 73	68	 45	 71	 62	82	 51	 71	 69
119	48	 117	 20	 73	68	 45	 70	 62	82	 51	 71	 69
120	48	 116	 19	 73	65	 47	 64	 59	69	 54	 59	 60
121	48	 116	 19	 73	58	 48	 64	 57	69	 54	 59	 60
122	48	 116	 19	 73	58	 48	 64	 57	69	 51	 64	 61
123	54	 122	 25	 78	63	 46	 60	 56	76	 53	 62	 64
124	54	 122	 25	 78	63	 46	 60	 56	76	 53	 62	 64
125	54	 122	 25	 78	63	 46	 60	 56	76	 53	 62	 64
126	60	 120	 26	 78	56	 44	 71	 58	75	 54	 71	 67
127	54	 121	 26	 77	56	 44	 71	 58	75	 54	 71	 67
128	56	 121	 26	 78	56	 44	 71	 58	75	 54	 71	 67
129	52	 124	 27	 79	72	 41	 68	 61	83	 51	 62	 66
130	52	 123	 25	 78	72	 41	 68	 61	79	 52	 64	 65
131	51	 121	 24	 77	60	 44	 65	 57	81	 51	 68	 67
132	65	 114	 24	 77	65	 49	 64	 59	86	 49	 72	 70
133	64	 58	 29	 52	35	 85	 151	 102	86	 49	 72	 70
134	69	 55	 32	 54	32	 83	 152	 101	82	 49	 72	 69
135	57	 55	 38	 50	35	 81	 143	 97	89	 51	 70	 71
136	57	 55	 38	 50	35	 81	 143	 97	89	 51	 70	 71
137	50	 57	 37	 48	52	 49	 64	 55	118	 36	 222	 146
138	69	 56	 45	 57	71	 43	 64	 60	114	 35	 226	 147
139	69	 56	 45	 57	68	 43	 64	 59	117	 35	 225	 147
140	64	 58	 44	 55	64	 45	 67	 59	122	 35	 228	 150
141	60	 57	 43	 53	72	 45	 63	 61	121	 31	 232	 152
142	60	 57	 43	 53	72	 45	 63	 61	122	 32	 232	 152
143	67	 58	 40	 56	72	 46	 60	 60	113	 37	 232	 150
144	58	 59	 41	 53	65	 44	 66	 59	133	 35	 233	 156
145	58	 59	 41	 53	65	 44	 66	 59	130	 30	 234	 155
146	62	 61	 37	 54	73	 43	 66	 62	102	 36	 231	 147
147	76	 58	 40	 59	76	 42	 67	 63	108	 34	 227	 146
148	76	 58	 40	 59	76	 42	 67	 63	109	 33	 227	 146
149	69	 62	 36	 57	69	 42	 69	 61	109	 31	 233	 149
150	65	 60	 37	 55	73	 48	 66	 63	139	 33	 231	 156
151	65	 60	 37	 55	73	 48	 66	 63	117	 37	 229	 149
152	57	 62	 35	 52	70	 46	 64	 60	103	 37	 228	 146
153	62	 60	 36	 53	67	 43	 68	 60	102	 36	 230	 146
154	62	 60	 36	 53	67	 43	 68	 60	103	 36	 229	 146
155	61	 62	 36	 54	65	 45	 64	 58	110	 36	 231	 149
156	59	 61	 38	 53	68	 46	 67	 61	116	 40	 228	 149
157	59	 61	 38	 53	68	 46	 67	 61	113	 34	 228	 148
158	55	 62	 38	 52	67	 47	 66	 60	117	 34	 230	 150
159	62	 60	 40	 54	67	 45	 65	 59	134	 33	 233	 156
160	63	 60	 40	 55	66	 45	 65	 59	112	 36	 233	 150
161	62	 59	 40	 54	70	 45	 65	 60	113	 36	 231	 149
162	63	 60	 40	 55	73	 44	 66	 62	104	 36	 231	 147
163	63	 60	 40	 55	73	 44	 66	 62	105	 36	 232	 148
164	66	 61	 35	 55	73	 44	 66	 62	109	 37	 231	 149
165	64	 61	 36	 55	58	 50	 64	 57	127	 27	 230	 152
166	67	 60	 36	 55	64	 49	 64	 59	133	 32	 231	 154
167	55	 121	 16	 77	64	 47	 68	 60	81	 54	 83	 73
